Author
David Dreyer Lassen
Jolien Cremers
Alexander Gates
Alice Grishchenko
Ana Macanovic
Sam Zhang
Ashton Anderson
Ali Faqeeh
Letizia Iannucci
Ted Hsuan Yun Chen
Mikko Kivelä
Ali Salloum
Christian Staal Bruun Overgaard
Josephine Lukito
Kaiya Soorholtz
Fatima Alqabandi
Eckehard Olbrich
Sven Banisch
Yelena Mejova
Armin Pournaki
Felix Gaisbauer
Bradley Spahn
Sahil Verma
Pedro RamaciottiMorales
Yuta Tomokiyo
Kimitaka Asatani
Kunihiro Miyazaki
Fujio Toriumi
Ichiro Sakata
Matija Franklin
Trisevgeni Papakonstantinou
Tianshu Chen
Carlos Fernandez-Basso
David Lagnado
Sahar Baribi-Bartov
Briony Swire-Thompson
Nir Grinberg
Ohhyun Kwon
Damin Lee
Inho Hong
Jaehyuk Park
Hyejin Youn
Woo-Sung Jung
Federico Delussu
Laetitia Gauvin
Lorenzo Lucchini
Marco Tonin
Marco De Nadai
David Mingfei Liu
Nandini Iyer
Lisette Espin Noboa
Lorenzo Dall'Amico
Onicio Leal
Lonjezo Dzekedzeke
Beverly Laher
Guilherme Lichand
Ciro Cattuto
Anna Sapienza
Alessandra Urbinati
Salvatore Vilella
Roland Toth
Christian Strippel
Marita Lítlá
Irena Đorđević
David Joachim Grüning
Frederik Riedel
Philipp Lorenz-Spreen
Chia-Jung Tsai
Robert Gordon Rinderknecht
Emilio Zagheni
Wojtek Przepiorka
Vincent Buskens
Maren Schuster
Felix Victor Münch
Aymeric Luneau
Jean-Philippe Cointet
Yuan Zhang
Pu Yan
Ralph Schroeder
Akira Matsui
Taichi Murayama
Onur Varol
Martin Gerlach
Emilio Ferrara
Patrick Gildersleve
Akhil Arora
Ivan Smirnov
Camelia Oprea
Markus Strohmaier
Roberta Rocca
Shreya Havaldar
Thomas Talhelm
James Calum Young
Hywel T.P. Williams
Rudy Arthur
Camille Landesvatter
Paul C. Bauer
Hang Jiang
Xiajie Zhang
Xubo Cao
Jad Kabbara
Lucio La Cava
Andrea Tagarelli
Luca Maria Aiello
Anubhab Das
Sanja Scepanovic
Ozgur Can Seckin
Marie-Laure Charpignon
Sagar Kumar
Maimuna S Majumder
Roberta Sinatra
Yanmeng Xing
Suman Maity
Stefan Wuchty
Dashun Wang
Jan Bachmann
Fariba Karimi
Claudia Acciai
Benjamin C Holding
Jesper Wiborg Schneider
Frauke Kreuter
Francesco Bonchi
Subhayan Mukerjee
Tian Yang
Yilang Peng
Mengjie Cheng
Shunyuan Zhang
Makoto Mizuno
Hiroki Takikawa
Tina Law
Em Bello-Pardo
Natalie McDaniel Gallagher
Zoltan Kmetty
Julia Szamely
Dongning Deng
Kellner Aniko
Edit Paulo
Riccardo Di Clemente
James Michelson
Miruna Cotet
Wenjia Zhao
Ian Krajbich
Seongwoon Kim
Sonja Walter
Alan Paul Kwan
Anjali Bhatt
Rudolf Hanel
Frank Neffke
Hirokazu Shirado
Shunichi Kasahara
Nicholas Christakis
Luis M Rocha
Rion Brattig Correia
Alain Barrat
Martin Ardvisson
Sebastiano Bontorin
Riccardo Gallotti
Luca Pappalardo
Manlio De Domenico
Qingtao Cao
Babak Heydari
Giovanni Mauro
Antonio Longa
Maddalena Conte
Nail Furkan Bashan
Qi Wang
Kishore Vasan
Xinlan Emily Hu
Linnea Gandhi
Lillio Mok
Lu Sun
Shilad Sen
Bahareh Sarrafzadeh
James P Houghton
Yuzuki Takahashi
Hayato Misumi
Mikiko Shimaoka
Tomomi Kito
Tzu-Chi Yen
Kate L. Wootton
Aaron Clauset
Daniel Larremore
Ezequiel Lopez Lopez
Stefan M. Herzog
Ke Zhou
Daniele Quercia
Wanqi Hu
Xinran Wang
Yunhao Yuan
Koustuv Saha
Barbara Keller
Erkki Tapio Isometsä
Talayeh Aledavood
Artem Kuriksha
Priyanka Goonetilleke
Anastasia Karpova
Peter Meylakhs
Sebastian Mildiner Moraga
Fionneke M Bos
Bennard Doornbos
Richard Bruggeman
Lian van der Krieke
Evelien Snippe
Emmeke Aarts
Elizaveta Sivak
Malvina Nissim
Gert Stulp
Frederik Andersen
Pantelis Analytis
Diana Verdes
Kristian Peter Lorenzen
Julian Berger
Ralf Kurvers
Elias Najarro
Claire Glanois
Louisa Jane Di Felice
Djordje Grbic
Meysam Alizadeh
Darya Zare
Mohammadhadi Aliahmadi
Mael Kubli
Sarvenaz Ebrahimi
Fabrizio Gilardi
Jaime Pérez
Edmond Awad
Gregorio López
Mario Castro
Daniel Valdenegro
Charles Rahal
Joel Harrison Suss
Dylan Connor
Tom Kemeny
Kokil Jaidka
Junsol Kim
Byungkyu Lee
Erkan Gunes
Christoffer Koch Florczak
Vasanth Sarathy
Sonja M Schmer-Galunder
Dan Thomsen
Laurel Bobrow
Richard Freedman
Marios Constantinides
Zachary Pangan
Eiji Aramaki
Shoko Wakamiya
Kongmeng Liew
Shuntaro Yada
Wan Jou She
Alessandro Gambetti
Qiwei Han
Ingmar Weber
Rupert Tibor Kiddle
Anne Kroon
Satoshi Tohda
Regina Widjaya
Galen Stocking
Aaron Smith
Amin Mekacher
Fengyuan Michael Liu
Bedoor Alshebli
Sylvain Fontaine
Floriana Gargiulo
Michel Dubois
Paola Tubaro
Jose Miguel Cordova
Emoke-Agnes Horvat
Daniel Romero
Aliakbar Akbaritabar
Andres F. Castro Torres
Vincent Lariviere
Cassidy R. Sugimoto
Erin Walk
Nicholas LaBerge
Sandor Juhasz
Indrajeet Patil
Erez Yoeli
Zoe K. Rahwan
Elohim Fonseca dos Reis
Alex Teytelboym
Abeer ElBahrawy
Ella Clement
Alejandro Beltran
Sebastian Steffen
Nikolitsa Grigoropoulou
Mario L. Small
Tom Theile
Carlos Callejo Penalba
Kiran Garimella
Lavinia Rossi Mori
Vittorio Loreto
Erick Elejalde
Victor Navarro
Loreto Bravo
Francisco Barreras
Bethany Hsiao
Yuan Liao
Jorge Gil
Sonia Yeh
Yunkyu Sohn
