author,display_name,country_code,first_pub_year,citation_count
Filippo Simini,Filippo Simini,"US,GB,DE,IT,CY",2018,1582
Filippos Exadaktylos,Filippos Exadaktylos,"ES,GB,TR,US",2021,123
Francesco Bonchi,Francesco Bonchi,"IT,ES,GR,TW,US",2010,1008
Francis Tuerlinckx,Francis Tuerlinckx,"BE,GR,US,AR,RU",2015,626
Francisco A. Rodrigues,Francisco A. Rodrigues,"BR,GB,MD,NL,AR",2011,762
Francisco C. Santos,Francisco C. Santos,"PT,BR,US,FR,NL",2005,3949
Frank R. Baumgartner,Frank R. Baumgartner,"US,SS,GB",2009,453
Frank Schweitzer,Frank Schweitzer,"CH,AT,DE",2009,1810
Franziska Klein,Franziska Klein,"DE,AT",2021,123
Frauke Kreuter,Frauke Kreuter,"DE,US",2008,1106
Freddie Bray,Freddie Bray,"FR,GB,NO,PK,CH,AU",2016,16221
G. Korniss,G. Korniss,"US,AU",2011,387
GW Gerben Dekker,GW Gerben Dekker,,2009,357
Gary King,Gary King,"US,SE,DK,IT",2013,2060
Ge Xu,Gelin Xu,"CN,DE",2020,788
Geoffrey B. West,Geoffrey B. West,"US,GB,PA",2021,281
George E. Newman,George E. Newman,"CA,US,AU",2014,722
Gerald Marwell,Gerald Marwell,US,1994,874
Gianmarco De Francisci Morales,Gianmarco De Francisci Morales,"IT,AR,US,QA,FI,GB",2021,1153
Gideon J. Mellenbergh,Gideon J. Mellenbergh,"NL,DE,DK,US,IT",2003,2997
Giorgio Fagiolo,Giorgio Fagiolo,"IT,US,FR,AZ,GB",2009,869
Giulio Costantini,Giulio Costantini,"IT,US,GB",2014,786
Gonzalo Travieso,Gonzalo Travieso,"BR,LC,PE",2011,762
Gordon Kraft‐Todd,Gordon Kraft‐Todd,"US,GB",2014,722
Gordon Pennycook,Gordon Pennycook,"US,CA,DE,GB,BE,ES,PL",2019,730
Gourab Ghoshal,Gourab Ghoshal,"US,GB",2018,1582
Greg Madey,Greg Madey,"US,PH",2008,513
Guillaume Kon Kam King,Guillaume Kon Kam King,"FR,IT,DE",2014,396
Gwo‐Jong Yu,Gwo‐Jong Yu,"TW,CN",2000,1446
Gábor Szabó,Gábor Szabó,"DE,US,HU,BE",2007,1867
Hadrien Salat,Hadrien Salat,"GB,SG,FR",2021,281
Hai Yang,Hai Yang,"HK,US,CN,AU",2014,1199
Hajo G. Boomgaarden,Hajo G. Boomgaarden,"AT,CH,NL,DE",2006,686
Han L. J. van der Maas,Han L. J. van der Maas,"NL,DE,US",2011,1994
Hanna Wallach,Hanna Wallach,"US,GB,IN",2009,2091
